SHEET: AHU

B2    | t=s          | F:  | V: Select AHU/PAU Components
R19   | t=           | F:  | V: 8887.5
S19   | t=           | F:  | V: 150
T19   | t=           | F:  | V: 2600
U19   | t=           | F:  | V: 2100
W19   | t=s          | F:  | V: A1-2250H-3500W
X19   | t=str        | F:  | V: 
Y19   | t=           | F:  | V: 54720
Z19   | t=           | F:  | V: 15200
AA19  | t=str        | F:  | V: 
AB19  | t=           | F:  | V: 49248
AC19  | t=           | F:  | V: 13680
AD19  | t=           | F:  | V: 150
AE19  | t=           | F:  | V: 3425
AF19  | t=           | F:  | V: 2205
AH19  | t=s          | F:  | V: 045
AI19  | t=           | F:  | V: 620
AJ19  | t=           | F:  | V: 155
AK19  | t=           | F:  | V: 620
AL19  | t=           | F:  | V: 310
AM19  | t=           | F:  | V: 310
AN19  | t=           | F:  | V: 465
AO19  | t=           | F:  | V: 620
AP19  | t=           | F:  | V: 310
AQ19  | t=           | F:  | V: 700
AR19  | t=           | F:  | V: 1860
AS19  | t=           | F:  | V: 300
AT19  | t=           | F:  | V: 0
AU19  | t=           | F:  | V: 0
AV19  | t=           | F:  | V: 0
AW19  | t=           | F:  | V: 0
AX19  | t=           | F:  | V: 0
AY19  | t=           | F:  | V: 0
AZ19  | t=           | F:  | V: 0
BA19  | t=           | F:  | V: 0
L20   | t=s          | F:  | V: 045
M20   | t=str        | F:  | V: 
N20   | t=           | F:  | V: 40320
O20   | t=           | F:  | V: 11200
P20   | t=str        | F:  | V: 
Q20   | t=           | F:  | V: 36288
R20   | t=           | F:  | V: 10080
S20   | t=           | F:  | V: 150
T20   | t=           | F:  | V: 2900
U20   | t=           | F:  | V: 2100
W20   | t=s          | F:  | V: A1-2250H-4100W
X20   | t=str        | F:  | V: 
Y20   | t=           | F:  | V: 65700
Z20   | t=           | F:  | V: 18250
AA20  | t=str        | F:  | V: 
AB20  | t=           | F:  | V: 63441
AC20  | t=           | F:  | V: 17622.5
AD20  | t=           | F:  | V: 150
AE20  | t=           | F:  | V: 4035
AF20  | t=           | F:  | V: 2205
AH20  | t=s          | F:  | V: 050
AI20  | t=           | F:  | V: 620
AJ20  | t=           | F:  | V: 155
AK20  | t=           | F:  | V: 620
AL20  | t=           | F:  | V: 310
AM20  | t=           | F:  | V: 310
AN20  | t=           | F:  | V: 465
AO20  | t=           | F:  | V: 620
AP20  | t=           | F:  | V: 310
AQ20  | t=           | F:  | V: 700
AR20  | t=           | F:  | V: 2015
AS20  | t=           | F:  | V: 300
AT20  | t=           | F:  | V: 0
AU20  | t=           | F:  | V: 0
AV20  | t=           | F:  | V: 0
AW20  | t=           | F:  | V: 0
AX20  | t=           | F:  | V: 0
AY20  | t=           | F:  | V: 0
AZ20  | t=           | F:  | V: 0
BA20  | t=           | F:  | V: 0
C21   | t=s          | F:  | V: Served area
F21   | t=s          | F:  | V: m2
I21   | t=s          | F:  | V: Loading Density
L21   | t=s          | F:  | V: 050
M21   | t=str        | F:  | V: 
N21   | t=           | F:  | V: 45090
O21   | t=           | F:  | V: 12525
P21   | t=str        | F:  | V: 
Q21   | t=           | F:  | V: 40581
R21   | t=           | F:  | V: 11272.5
S21   | t=           | F:  | V: 150
T21   | t=           | F:  | V: 3200
U21   | t=           | F:  | V: 2100
W21   | t=s          | F:  | V: A1-2530H-4100W
X21   | t=str        | F:  | V: 
Y21   | t=           | F:  | V: 74800
Z21   | t=           | F:  | V: 20777.777777777777
AA21  | t=str        | F:  | V: 
AB21  | t=           | F:  | V: 67320
AC21  | t=           | F:  | V: 18700
AD21  | t=           | F:  | V: 150
AE21  | t=           | F:  | V: 4035
AF21  | t=           | F:  | V: 2510
AH21  | t=s          | F:  | V: 060
AI21  | t=           | F:  | V: 930
AJ21  | t=           | F:  | V: 155
AK21  | t=           | F:  | V: 620
AL21  | t=           | F:  | V: 310
AM21  | t=           | F:  | V: 465
AN21  | t=           | F:  | V: 465
AO21  | t=           | F:  | V: 620
AP21  | t=           | F:  | V: 310
AQ21  | t=           | F:  | V: 700
AR21  | t=           | F:  | V: 2015
AS21  | t=           | F:  | V: 300
AT21  | t=           | F:  | V: 0
AU21  | t=           | F:  | V: 0
AV21  | t=           | F:  | V: 0
AW21  | t=           | F:  | V: 0
AX21  | t=           | F:  | V: 0
AY21  | t=           | F:  | V: 0
AZ21  | t=           | F:  | V: 0
BA21  | t=           | F:  | V: 0
C22   | t=s          | F:  | V: Cooling load density
F22   | t=s          | F:  | V: W/m2
I22   | t=str        | F: IF(E22=0,"-",SUM(AK58:AK61)) | V: -
J22   | t=s          | F:  | V: ft2/RT
L22   | t=s          | F:  | V: 060
M22   | t=str        | F:  | V: 
N22   | t=           | F:  | V: 53280
O22   | t=           | F:  | V: 14800
P22   | t=str        | F:  | V: 
Q22   | t=           | F:  | V: 47952
R22   | t=           | F:  | V: 13320
S22   | t=           | F:  | V: 150
T22   | t=           | F:  | V: 3250
U22   | t=           | F:  | V: 2450
W22   | t=s          | F:  | V: A1-3200H-4100W
X22   | t=str        | F:  | V: 
Y22   | t=           | F:  | V: 89200
Z22   | t=           | F:  | V: 24777.777777777777
AA22  | t=str        | F:  | V: 
AB22  | t=           | F:  | V: 80280
AC22  | t=           | F:  | V: 22300
AD22  | t=           | F:  | V: 150
AE22  | t=           | F:  | V: 4035
AF22  | t=           | F:  | V: 3120
AH22  | t=s          | F:  | V: 065
AI22  | t=           | F:  | V: 930
AJ22  | t=           | F:  | V: 155
AK22  | t=           | F:  | V: 620
AL22  | t=           | F:  | V: 310
AM22  | t=           | F:  | V: 465
AN22  | t=           | F:  | V: 465
AO22  | t=           | F:  | V: 620
AP22  | t=           | F:  | V: 310
