SHEET: Fan

B2    | t=s          | F:  | V: Fan Selection
H18   | t=s          | F:  | V: -
I18   | t=s          | F:  | V: -
J18   | t=s          | F:  | V: -
K18   | t=s          | F:  | V: -
L18   | t=s          | F:  | V: -
M18   | t=s          | F:  | V: -
N18   | t=s          | F:  | V: -
O18   | t=s          | F:  | V: -
P18   | t=s          | F:  | V: -
Q18   | t=s          | F:  | V: -
R18   | t=s          | F:  | V: -
S18   | t=s          | F:  | V: -
T18   | t=s          | F:  | V: -
U18   | t=s          | F:  | V: -
V18   | t=s          | F:  | V: -
W18   | t=s          | F:  | V: -
X18   | t=s          | F:  | V: -
Y18   | t=s          | F:  | V: -
Z18   | t=s          | F:  | V: -
AA18  | t=s          | F:  | V: -
AB18  | t=s          | F:  | V: -
AC18  | t=s          | F:  | V: -
AD18  | t=s          | F:  | V: -
AE18  | t=s          | F:  | V: -
AF18  | t=s          | F:  | V: -
AG18  | t=s          | F:  | V: -
AH18  | t=s          | F:  | V: -
AI18  | t=s          | F:  | V: -
AJ18  | t=s          | F:  | V: -
AK18  | t=s          | F:  | V: -
AL18  | t=s          | F:  | V: -
AM18  | t=s          | F:  | V: -
AN18  | t=s          | F:  | V: FY-15BCS-D
AO18  | t=s          | F:  | V: 545 x 1020 x 893
AP18  | t=           | F:  | V: 90
AQ18  | t=           | F:  | V: 0.37
AR18  | t=s          | F:  | V: -
AS18  | t=s          | F:  | V: -
AT18  | t=s          | F:  | V: -
AU18  | t=s          | F:  | V: -
AV18  | t=s          | F:  | V: -
AW18  | t=s          | F:  | V: -
AX18  | t=s          | F:  | V: -
AY18  | t=s          | F:  | V: -
AZ18  | t=s          | F:  | V: -
BA18  | t=s          | F:  | V: -
BB18  | t=s          | F:  | V: -
BC18  | t=s          | F:  | V: -
BD18  | t=s          | F:  | V: -
BE18  | t=s          | F:  | V: -
BF18  | t=s          | F:  | V: -
BG18  | t=s          | F:  | V: -
BH18  | t=s          | F:  | V: RK-500X250-D1
BI18  | t=s          | F:  | V: 543 x 532 x 314
BJ18  | t=           | F:  | V: 17
BK18  | t=           | F:  | V: 0.55000000000000004
BL18  | t=s          | F:  | V: RK-500X300-B1
BM18  | t=s          | F:  | V: 562 x 543 x 364
BN18  | t=           | F:  | V: 21
BO18  | t=           | F:  | V: 0.75
BP18  | t=s          | F:  | V: RK-500X300-B1
BQ18  | t=s          | F:  | V: 562 x 543 x 364
BR18  | t=           | F:  | V: 21
BS18  | t=           | F:  | V: 0.75
BT18  | t=s          | F:  | V: RK-600X300-F1
BU18  | t=s          | F:  | V: 643 x 642 x 364
BV18  | t=           | F:  | V: 32
BW18  | t=           | F:  | V: 1.5
BX18  | t=s          | F:  | V: RK-600X350-E1
BY18  | t=s          | F:  | V: 717 x 643 x 414
BZ18  | t=           | F:  | V: 42
CA18  | t=           | F:  | V: 2.2000000000000002
CB18  | t=s          | F:  | V: -
CC18  | t=s          | F:  | V: -
CD18  | t=s          | F:  | V: -
CE18  | t=s          | F:  | V: -
CF18  | t=s          | F:  | V: -
CG18  | t=s          | F:  | V: -
CH18  | t=s          | F:  | V: -
CI18  | t=s          | F:  | V: -
CJ18  | t=s          | F:  | V: -
CK18  | t=s          | F:  | V: -
CL18  | t=s          | F:  | V: -
CM18  | t=s          | F:  | V: -
CN18  | t=s          | F:  | V: -
CO18  | t=s          | F:  | V: -
CP18  | t=s          | F:  | V: -
CQ18  | t=s          | F:  | V: -
CR18  | t=s          | F:  | V: -
CS18  | t=s          | F:  | V: -
CT18  | t=s          | F:  | V: -
CU18  | t=s          | F:  | V: -
B19   | t=           | F:  | V: 2000
C19   | t=           | F:  | V: 555.55555555555554
D19   | t=s          | F:  | V: -
E19   | t=s          | F:  | V: -
F19   | t=s          | F:  | V: -
G19   | t=s          | F:  | V: -
H19   | t=s          | F:  | V: -
I19   | t=s          | F:  | V: -
J19   | t=s          | F:  | V: -
K19   | t=s          | F:  | V: -
L19   | t=s          | F:  | V: -
M19   | t=s          | F:  | V: -
N19   | t=s          | F:  | V: -
O19   | t=s          | F:  | V: -
P19   | t=s          | F:  | V: -
Q19   | t=s          | F:  | V: -
R19   | t=s          | F:  | V: -
S19   | t=s          | F:  | V: -
T19   | t=s          | F:  | V: -
U19   | t=s          | F:  | V: -
V19   | t=s          | F:  | V: -
W19   | t=s          | F:  | V: -
X19   | t=s          | F:  | V: -
Y19   | t=s          | F:  | V: -
Z19   | t=s          | F:  | V: -
AA19  | t=s          | F:  | V: -
AB19  | t=s          | F:  | V: -
AC19  | t=s          | F:  | V: -
AD19  | t=s          | F:  | V: -
AE19  | t=s          | F:  | V: -
AF19  | t=s          | F:  | V: -
AG19  | t=s          | F:  | V: -
AH19  | t=s          | F:  | V: -
AI19  | t=s          | F:  | V: -
AJ19  | t=s          | F:  | V: -
AK19  | t=s          | F:  | V: -
AL19  | t=s          | F:  | V: -
AM19  | t=s          | F:  | V: -
AN19  | t=s          | F:  | V: FY-15BCS-D
AO19  | t=s          | F:  | V: 545 x 1020 x 893
AP19  | t=           | F:  | V: 90
AQ19  | t=           | F:  | V: 0.55000000000000004
AR19  | t=s          | F:  | V: -
AS19  | t=s          | F:  | V: -
AT19  | t=s          | F:  | V: -
